2024-08-21 10:43:15 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 8.0.1.Final
					
2024-08-21 10:43:15 [restartedMain] INFO  c.c.ApartmentManagementApplication                 - Starting ApartmentManagementApplication using Java 21.0.3 with PID 14388 (C:\Users\Admin\Documents\workspace-spring-tool-suite-4-4.23.1.RELEASE\ApartmentManager\target\classes started by Admin in C:\Users\Admin\Documents\workspace-spring-tool-suite-4-4.23.1.RELEASE\ApartmentManager)
					
2024-08-21 10:43:15 [restartedMain] INFO  c.c.ApartmentManagementApplication                 - The following 1 profile is active: "dev"
					
2024-08-21 10:43:15 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
					
2024-08-21 10:43:15 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
					
2024-08-21 10:43:16 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
					
2024-08-21 10:43:16 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 66 ms. Found 10 JPA repository interfaces.
					
2024-08-21 10:43:16 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8080 (http)
					
2024-08-21 10:43:16 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-8080"]
					
2024-08-21 10:43:16 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat]
					
2024-08-21 10:43:16 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/10.1.13]
					
2024-08-21 10:43:17 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext
					
2024-08-21 10:43:17 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 1697 ms
					
2024-08-21 10:43:17 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting...
					
2024-08-21 10:43:17 [restartedMain] INFO  c.z.h.p.HikariPool                                 - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1c7cce54
					
2024-08-21 10:43:17 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed.
					
2024-08-21 10:43:17 [restartedMain] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default]
					
2024-08-21 10:43:18 [restartedMain] INFO  o.h.Version                                        - HHH000412: Hibernate ORM core version 6.2.9.Final
					
2024-08-21 10:43:18 [restartedMain] INFO  o.h.c.Environment                                  - HHH000406: Using bytecode reflection optimizer
					
2024-08-21 10:43:18 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator                  - HHH000021: Bytecode provider name : bytebuddy
					
2024-08-21 10:43:18 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo                - No LoadTimeWeaver setup: ignoring JPA class transformer
					
2024-08-21 10:43:19 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator                  - HHH000021: Bytecode provider name : bytebuddy
					
2024-08-21 10:43:20 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
					
2024-08-21 10:43:20 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default'
					
2024-08-21 10:43:21 [restartedMain] INFO  o.s.d.j.r.q.QueryEnhancerFactory                   - Hibernate is in classpath; If applicable, HQL parser will be used.
					
2024-08-21 10:43:22 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
					
2024-08-21 10:43:23 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain                 - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@46e17ef1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@17048bdc, org.springframework.security.web.context.SecurityContextHolderFilter@973d501, org.springframework.security.web.header.HeaderWriterFilter@2f286b0d, org.springframework.web.filter.CorsFilter@3b38bc1b, org.springframework.security.web.authentication.logout.LogoutFilter@4bbaf91a, com.company.config.security.JWTAuthorizationFilter@74a09690, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1df989b8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5db72acc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@c9ae5aa, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6b421161, org.springframework.security.web.access.ExceptionTranslationFilter@7b8dd346, org.springframework.security.web.access.intercept.AuthorizationFilter@ffb99f8]
					
2024-08-21 10:43:24 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer                 - LiveReload server is running on port 35729
					
2024-08-21 10:43:24 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["http-nio-8080"]
					
2024-08-21 10:43:24 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 8080 (http) with context path ''
					
